txid,wallet,role,amount,timestamp,fee,script_type
tx_7ba42e0d289041f1,bc1qkpjfddnzuxyrrf7ka858,input,0.09950037,2026-03-28T17:13:08.069892,7.306e-05,P2WPKH
tx_ba91094b1bb045fd,bc1qkpjfddnzuxyrrf7ka858,input,0.6607568,2026-04-01T02:13:08.069892,0.00089244,P2PKH
tx_7d27eb05112e41fe,bc1qkpjfddnzuxyrrf7ka858,output,0.49918651,2026-04-01T20:13:08.069892,0.00125686,P2WPKH
tx_ca2e3116ecf44f9c,bc1qkpjfddnzuxyrrf7ka858,input,0.1407195,2026-04-05T09:13:08.069892,8.648e-05,P2WPKH
tx_f5ad968c7c1b48b7,bc1qgzyrcdvctdhmu0kj24j6,input,0.10764112,2026-05-15T14:13:08.070340,0.00025003,P2PKH
tx_0062df4f29ec4cc9,bc1qgzyrcdvctdhmu0kj24j6,output,0.06601409,2026-05-16T03:13:08.070340,0.00018371,P2PKH
tx_37c4d0ec3f514196,bc1qgzyrcdvctdhmu0kj24j6,output,0.24511311,2026-05-17T02:13:08.070340,0.00058031,P2TR
tx_c62b428362b64252,bc1qgzyrcdvctdhmu0kj24j6,input,0.03505692,2026-05-19T23:13:08.070340,7.717e-05,P2PKH
tx_031d941e974548a7,bc1qgzyrcdvctdhmu0kj24j6,output,0.1841298,2026-05-20T06:13:08.070340,0.00021489,P2PKH
tx_406ef1fd0b8e4739,bc1qgzyrcdvctdhmu0kj24j6,input,0.08355058,2026-05-21T21:13:08.070340,0.00017239,P2PKH
tx_25a3b083eae44280,bc1qgzyrcdvctdhmu0kj24j6,output,0.02341651,2026-05-24T17:13:08.070340,6.939e-05,P2PKH
tx_be86050796964672,bc1qgzyrcdvctdhmu0kj24j6,output,0.01910246,2026-05-25T07:13:08.070340,3.581e-05,P2WPKH
tx_4a0e21dd9de54db0,bc1qgzyrcdvctdhmu0kj24j6,output,0.17023332,2026-05-29T05:13:08.070340,0.00037098,P2PKH
tx_e53bf7ddda144c70,bc1qyygkw7pkyfcthg8m4g2f,input,0.09860675,2026-05-29T19:13:08.070340,0.0002238,P2PKH
tx_0a4d7c56b618407b,bc1qyygkw7pkyfcthg8m4g2f,output,0.04166943,2026-05-31T12:13:08.070340,0.00011829,P2PKH
tx_b4f0eaadb94a4d2f,bc1qyygkw7pkyfcthg8m4g2f,input,0.04932433,2026-06-04T06:13:08.070340,0.00013118,P2WPKH
tx_e34e1b444143429c,bc1q6dczuj9hevzelqmyg0za,input,0.02441556,2026-06-13T21:13:08.070973,6.559e-05,P2PKH
tx_ba0ba5c95a2e44c6,bc1q6dczuj9hevzelqmyg0za,output,0.02158984,2026-06-14T04:13:08.070973,2.233e-05,P2TR
tx_af096a950b6244ba,bc1q6dczuj9hevzelqmyg0za,output,0.01911869,2026-06-15T19:13:08.070973,4.448e-05,P2PKH
tx_26ab7c0f2af8446b,bc1q6dczuj9hevzelqmyg0za,input,0.14106175,2026-06-18T22:13:08.070973,0.00027654,P2PKH
tx_49f1816569cc45a9,bc1q6dczuj9hevzelqmyg0za,input,0.00276216,2026-06-19T12:13:08.070973,5.31e-06,P2WPKH
tx_9a57b7bf12b84842,bc1q6dczuj9hevzelqmyg0za,output,0.04711452,2026-06-21T10:13:08.070973,9.959e-05,P2PKH
tx_f11b98c68f5849cf,bc1q6dczuj9hevzelqmyg0za,output,0.02687704,2026-06-24T16:13:08.070973,3.126e-05,P2TR
tx_8e6605f78ae749c9,bc1q6dczuj9hevzelqmyg0za,input,0.20840877,2026-06-27T19:13:08.070973,0.00044984,P2PKH
tx_c9d2008159d14f21,bc1q6dczuj9hevzelqmyg0za,output,0.01547924,2026-06-29T03:13:08.070973,1.796e-05,P2PKH
tx_5b96a3426a834790,bc1qvn7yctd7pkqc4e030jq8,input,0.09885477,2026-06-30T00:13:08.071388,5.182e-05,P2TR
tx_48aecd10be074c09,bc1qvn7yctd7pkqc4e030jq8,input,0.07059094,2026-07-03T08:13:08.071388,9.965e-05,P2TR
tx_9dff03da25af4f77,bc1qvn7yctd7pkqc4e030jq8,input,0.2588125,2026-07-06T13:13:08.071388,0.00023455,P2TR
tx_82c59e3baace4d97,bc1qvn7yctd7pkqc4e030jq8,input,0.00858465,2026-07-08T23:13:08.071388,6.61e-06,P2TR
tx_434b10144c084b86,bc1qvn7yctd7pkqc4e030jq8,output,0.00605807,2026-07-10T10:13:08.071388,1.767e-05,P2PKH
tx_0a440169d15044da,bc1qvn7yctd7pkqc4e030jq8,output,0.04776219,2026-07-11T06:13:08.071388,7.577e-05,P2PKH
tx_c55659be42374c84,bc1qpmya3nm9ky3y6tg393ky,output,0.0607767,2026-07-24T00:13:08.071708,0.00013131,P2WPKH
tx_c71d8ac7b251410f,bc1q9nluhs6t48g34nzkzszu,input,0.02517873,2026-07-27T19:13:08.071708,4.749e-05,P2PKH
tx_79aa7d29cfce4eee,bc1q9nluhs6t48g34nzkzszu,output,0.03802774,2026-07-28T01:13:08.071708,7.415e-05,P2PKH
tx_616e41b7133b4a0e,bc1qpmya3nm9ky3y6tg393ky,input,0.02183721,2026-07-29T04:13:08.071708,4.473e-05,P2WPKH
tx_eb2e79127a604345,bc1qpmya3nm9ky3y6tg393ky,output,0.05838836,2026-07-30T11:13:08.071708,3.982e-05,P2TR
tx_9f2d771d1cc04bfd,bc1qpmya3nm9ky3y6tg393ky,output,0.77625728,2026-08-01T00:13:08.071708,0.00059498,P2PKH
tx_3bd089417f2d4f5e,bc1q9nluhs6t48g34nzkzszu,output,0.02004173,2026-08-01T21:13:08.071708,3.663e-05,P2TR
tx_f1b6a9672bdf4c75,bc1q9nluhs6t48g34nzkzszu,output,0.04248696,2026-08-04T15:13:08.071708,8.897e-05,P2WPKH
tx_c4f90a58e9594040,bc1q9nluhs6t48g34nzkzszu,input,0.00348595,2026-08-06T03:13:08.071708,2.45e-06,P2PKH
tx_be8a6d7547cd458d,bc1q9nluhs6t48g34nzkzszu,output,0.09538334,2026-08-08T13:13:08.071708,9.701e-05,P2PKH
tx_fa11ed621a064eac,bc1q9nluhs6t48g34nzkzszu,input,0.40929458,2026-08-10T16:13:08.071708,0.00096953,P2PKH
tx_61e9d19220a94bc5,bc1q9nluhs6t48g34nzkzszu,input,1.48225585,2026-08-12T17:13:08.071708,0.00414862,P2TR
tx_f758ba8f7d3445bb,bc1q9nluhs6t48g34nzkzszu,output,0.03385743,2026-08-13T16:13:08.071708,4.464e-05,P2PKH
tx_3af02a96a92e49f8,bc1q9nluhs6t48g34nzkzszu,input,0.30168229,2026-08-16T03:13:08.071708,0.00071576,P2TR
tx_58de3608de6649ae,bc1qsfjexu463d572x7nu4zz,input,0.02952798,2026-03-25T06:13:08.072347,2.321e-05,P2PKH
tx_d86f5f0314a947fc,bc1qsfjexu463d572x7nu4zz,output,0.01985744,2026-03-26T02:13:08.072347,4.355e-05,P2PKH
tx_162ed5f456724815,bc1qsfjexu463d572x7nu4zz,input,0.49890999,2026-03-29T16:13:08.072347,0.00040044,P2PKH
tx_8a1df9aece484034,bc1qsfjexu463d572x7nu4zz,output,0.41873866,2026-03-31T17:13:08.072347,0.00094981,P2PKH
tx_68dceda2068c419b,bc1qsfjexu463d572x7nu4zz,output,0.05054789,2026-04-04T02:13:08.072347,0.00014338,P2TR
tx_6e4a82bf95584762,bc1qsfjexu463d572x7nu4zz,output,0.03574614,2026-04-06T23:13:08.072347,8.917e-05,P2PKH
tx_2bd2598ccf124a83,bc1qsfjexu463d572x7nu4zz,input,0.03347246,2026-04-08T05:13:08.072347,6.319e-05,P2WPKH
tx_ae9fd50df99a4397,bc1qsfjexu463d572x7nu4zz,output,0.0127844,2026-04-08T22:13:08.072347,1.618e-05,P2PKH
tx_0552152bb0734af5,bc1qsfjexu463d572x7nu4zz,input,0.14555216,2026-04-10T22:13:08.072347,0.00016426,P2WPKH
tx_068e4d86d94e4ec5,bc1qsfjexu463d572x7nu4zz,input,0.08810171,2026-04-13T17:13:08.072347,6.619e-05,P2PKH
tx_6b91a0a6ac0b41ce,bc1qsfjexu463d572x7nu4zz,output,0.11801187,2026-04-16T19:13:08.072347,9.626e-05,P2PKH
tx_6e617490673f4531,bc1qsfjexu463d572x7nu4zz,input,0.29580787,2026-04-18T20:13:08.072347,0.00078517,P2WPKH
tx_860c27182245435c,bc1qsfjexu463d572x7nu4zz,input,0.02540003,2026-04-22T17:13:08.072347,3.913e-05,P2WPKH
tx_419754b69c2a4a9e,bc1qsfjexu463d572x7nu4zz,input,0.0285185,2026-04-26T02:13:08.072347,5.772e-05,P2TR
tx_92efac3bba814460,bc1qsfjexu463d572x7nu4zz,output,0.10779622,2026-04-27T04:13:08.072347,0.00011628,P2WPKH
tx_1b55f7d2ceea4ac3,bc1qple559w2csjkarqrdknu,output,0.01694725,2026-04-01T14:13:08.073240,3.259e-05,P2PKH
tx_70d07c0074134262,bc1qple559w2csjkarqrdknu,output,0.05967963,2026-04-04T12:13:08.073240,0.00016254,P2WPKH
