txid,timestamp,src_ip,dst_ip,src_port,dst_port
tx_7ba42e0d289041f1,2026-03-28T17:13:08.069892,7.140.125.58,7.101.214.57,30463,8333
tx_ba91094b1bb045fd,2026-04-01T02:13:08.069892,7.140.125.58,196.172.52.24,25922,8333
tx_7d27eb05112e41fe,2026-04-01T20:13:08.069892,7.140.125.58,97.40.150.213,42222,8333
tx_ca2e3116ecf44f9c,2026-04-05T09:13:08.069892,7.140.125.58,21.119.51.98,19241,8333
tx_f5ad968c7c1b48b7,2026-05-15T14:13:08.070340,42.189.181.54,70.112.166.216,51376,8333
tx_0062df4f29ec4cc9,2026-05-16T03:13:08.070340,42.189.181.54,128.202.234.37,18383,8333
tx_37c4d0ec3f514196,2026-05-17T02:13:08.070340,42.189.181.54,103.185.112.36,34416,8333
tx_c62b428362b64252,2026-05-19T23:13:08.070340,42.189.181.54,153.239.128.249,37280,8333
tx_031d941e974548a7,2026-05-20T06:13:08.070340,42.189.181.54,112.80.232.1,63533,8333
tx_406ef1fd0b8e4739,2026-05-21T21:13:08.070340,42.189.181.54,196.82.0.154,22267,8333
tx_25a3b083eae44280,2026-05-24T17:13:08.070340,42.189.181.54,62.40.43.188,32873,8333
tx_be86050796964672,2026-05-25T07:13:08.070340,42.189.181.54,156.216.108.238,36367,8333
tx_4a0e21dd9de54db0,2026-05-29T05:13:08.070340,42.189.181.54,133.231.61.64,15749,8333
tx_e53bf7ddda144c70,2026-05-29T19:13:08.070340,42.189.181.54,9.169.36.132,16621,8333
tx_0a4d7c56b618407b,2026-05-31T12:13:08.070340,42.189.181.54,122.208.97.25,7376,8333
tx_b4f0eaadb94a4d2f,2026-06-04T06:13:08.070340,42.189.181.54,166.50.31.104,48748,8333
tx_e34e1b444143429c,2026-06-13T21:13:08.070973,64.98.97.138,221.50.25.167,36451,8333
tx_ba0ba5c95a2e44c6,2026-06-14T04:13:08.070973,64.98.97.138,43.194.1.253,26610,8333
tx_af096a950b6244ba,2026-06-15T19:13:08.070973,64.98.97.138,76.111.29.149,49241,8333
tx_26ab7c0f2af8446b,2026-06-18T22:13:08.070973,64.98.97.138,131.41.95.18,40020,8333
tx_49f1816569cc45a9,2026-06-19T12:13:08.070973,64.98.97.138,108.161.133.53,44915,8333
tx_9a57b7bf12b84842,2026-06-21T10:13:08.070973,64.98.97.138,193.37.4.118,41732,8333
tx_f11b98c68f5849cf,2026-06-24T16:13:08.070973,64.98.97.138,63.189.145.41,29740,8333
tx_8e6605f78ae749c9,2026-06-27T19:13:08.070973,64.98.97.138,28.79.139.73,40662,8333
tx_c9d2008159d14f21,2026-06-29T03:13:08.070973,64.98.97.138,217.26.47.163,28783,8333
tx_5b96a3426a834790,2026-06-30T00:13:08.071388,1.170.66.164,177.76.18.214,25220,8333
tx_48aecd10be074c09,2026-07-03T08:13:08.071388,1.170.66.164,54.127.52.91,52149,8333
tx_9dff03da25af4f77,2026-07-06T13:13:08.071388,1.170.66.164,7.91.170.201,62025,8333
tx_82c59e3baace4d97,2026-07-08T23:13:08.071388,1.170.66.164,57.102.235.90,21024,8333
tx_434b10144c084b86,2026-07-10T10:13:08.071388,1.170.66.164,131.204.169.241,2832,8333
tx_0a440169d15044da,2026-07-11T06:13:08.071388,1.170.66.164,131.59.197.231,38811,8333
tx_c55659be42374c84,2026-07-24T00:13:08.071708,12.223.0.134,170.63.153.130,21293,8333
tx_c71d8ac7b251410f,2026-07-27T19:13:08.071708,12.223.0.134,98.89.154.104,36933,8333
tx_79aa7d29cfce4eee,2026-07-28T01:13:08.071708,12.223.0.134,114.109.242.204,60083,8333
tx_616e41b7133b4a0e,2026-07-29T04:13:08.071708,12.223.0.134,193.120.158.58,53882,8333
tx_eb2e79127a604345,2026-07-30T11:13:08.071708,12.223.0.134,148.99.196.127,27215,8333
tx_9f2d771d1cc04bfd,2026-08-01T00:13:08.071708,12.223.0.134,206.237.25.143,17355,8333
tx_3bd089417f2d4f5e,2026-08-01T21:13:08.071708,12.223.0.134,114.218.228.230,11454,8333
tx_f1b6a9672bdf4c75,2026-08-04T15:13:08.071708,12.223.0.134,71.225.39.183,19749,8333
tx_c4f90a58e9594040,2026-08-06T03:13:08.071708,12.223.0.134,178.78.109.17,28212,8333
tx_be8a6d7547cd458d,2026-08-08T13:13:08.071708,12.223.0.134,198.10.194.123,1410,8333
tx_fa11ed621a064eac,2026-08-10T16:13:08.071708,12.223.0.134,70.223.248.8,26508,8333
tx_61e9d19220a94bc5,2026-08-12T17:13:08.071708,12.223.0.134,152.13.42.165,29113,8333
tx_f758ba8f7d3445bb,2026-08-13T16:13:08.071708,12.223.0.134,195.194.142.193,63362,8333
tx_3af02a96a92e49f8,2026-08-16T03:13:08.071708,12.223.0.134,90.114.35.200,63760,8333
tx_58de3608de6649ae,2026-03-25T06:13:08.072347,194.15.126.52,66.188.85.156,40820,8333
tx_d86f5f0314a947fc,2026-03-26T02:13:08.072347,194.15.126.52,184.101.38.152,46284,8333
tx_162ed5f456724815,2026-03-29T16:13:08.072347,194.15.126.52,110.189.35.130,43461,8333
tx_8a1df9aece484034,2026-03-31T17:13:08.072347,194.15.126.52,134.138.247.120,29569,8333
tx_68dceda2068c419b,2026-04-04T02:13:08.072347,194.15.126.52,63.237.194.87,2904,8333
tx_6e4a82bf95584762,2026-04-06T23:13:08.072347,194.15.126.52,153.141.5.133,63156,8333
tx_2bd2598ccf124a83,2026-04-08T05:13:08.072347,194.15.126.52,166.251.229.203,2154,8333
tx_ae9fd50df99a4397,2026-04-08T22:13:08.072347,194.15.126.52,136.176.217.191,37094,8333
tx_0552152bb0734af5,2026-04-10T22:13:08.072347,194.15.126.52,81.61.94.50,15204,8333
tx_068e4d86d94e4ec5,2026-04-13T17:13:08.072347,194.15.126.52,93.91.154.4,47424,8333
tx_6b91a0a6ac0b41ce,2026-04-16T19:13:08.072347,194.15.126.52,4.145.240.123,29890,8333
tx_6e617490673f4531,2026-04-18T20:13:08.072347,194.15.126.52,103.251.37.148,42275,8333
tx_860c27182245435c,2026-04-22T17:13:08.072347,194.15.126.52,98.230.226.77,57395,8333
tx_419754b69c2a4a9e,2026-04-26T02:13:08.072347,194.15.126.52,54.108.135.170,6344,8333
tx_92efac3bba814460,2026-04-27T04:13:08.072347,194.15.126.52,117.36.119.237,18361,8333
tx_1b55f7d2ceea4ac3,2026-04-01T14:13:08.073240,109.58.115.166,120.155.206.242,18865,8333
tx_70d07c0074134262,2026-04-04T12:13:08.073240,109.58.115.166,7.46.117.247,45214,8333
tx_34b154d895d4452a,2026-04-07T19:13:08.073240,109.58.115.166,150.223.251.249,7003,8333
tx_eaa8280feff8471c,2026-04-10T13:13:08.073240,109.58.115.166,178.253.147.170,62968,8333
tx_0910a78d0084460c,2026-05-28T18:13:08.073967,117.45.161.65,195.26.104.69,37017,8333
tx_d02c9228fde84dc3,2026-05-29T16:13:08.073967,117.45.161.65,80.7.208.24,15749,8333
tx_9e0f1b11c82642e9,2026-05-30T12:13:08.073967,117.45.161.65,63.233.74.99,13515,8333
tx_9dd67d1cb83c4b94,2026-06-02T22:13:08.073967,117.45.161.65,202.136.1.73,48606,8333
tx_abf4e09fc1154bba,2026-06-04T18:13:08.073967,117.45.161.65,140.193.233.239,22112,8333
tx_e73edc4def2c4d11,2026-06-06T00:13:08.073967,117.45.161.65,122.195.197.254,44519,8333
tx_4cef27f0923b4b50,2026-06-09T17:13:08.073967,117.45.161.65,217.225.51.135,60690,8333
tx_1a25375f9968418b,2026-05-14T23:13:08.074314,185.73.209.223,219.168.194.245,21776,8333
tx_b35921517b4c4336,2026-05-18T13:13:08.074314,185.73.209.223,178.153.14.12,22282,8333
